"name","parameter_quadra","initial_gradient_quadra","estimate_quadra","parameter_rtmb","initial_gradient_rtmb","estimate_rtmb","gradient_difference","estimate_difference"
"tphiR","parameter",-2141.82475023652,0.93679194512071,"parameter",-2141.82475023652,0.936822828794394,0,3.0883673683979e-05
"logSdR","parameter",-4338.637963539,0.804067742365391,"parameter",-4338.637963539,0.804070391210813,1.81898940354586e-12,2.6488454216711e-06
"logMuR","parameter",-427.306893009723,12.3368037188967,"parameter",-427.306893009723,12.3368006359973,0,3.08289938999451e-06
"logSdCatch","parameter",-7565.5006418722,-1.03583427539698,"parameter",-7565.5006418722,-1.03583490705712,0,6.31660144634338e-07
"logSdSurvey","parameter",-2614.50895088044,-0.930400464097119,"parameter",-2614.50895088044,-0.930400060459012,4.54747350886464e-13,4.03638107049353e-07
"logQ_1","parameter",151.036007476085,-10.5939882288349,"parameter",151.036007476085,-10.5939890976192,2.8421709430404e-14,8.68784205465545e-07
"logQ_2","parameter",109.561809673661,-9.31898603012047,"parameter",109.561809673661,-9.31898780439139,4.2632564145606e-14,1.77427092395988e-06
"logQ_3","parameter",105.445039904591,-9.01695027473422,"parameter",105.445039904591,-9.01695091544777,1.4210854715202e-14,6.40713558652806e-07
"logQ_4","parameter",104.826112905972,-8.91312612172207,"parameter",104.826112905972,-8.91312747641522,0,1.35469314699321e-06
"logQ_5","parameter",96.4361852623272,-8.67891268749195,"parameter",96.4361852623272,-8.67891254574671,1.4210854715202e-14,1.41745232440371e-07
"logN1Y_1","parameter",-94.9975936247013,12.440461495876,"parameter",-94.9975936247013,12.4404604447083,0,1.05116765780622e-06
"logN1Y_2","parameter",-75.3602439248754,11.7639261413508,"parameter",-75.3602439248754,11.7639280627684,0,1.92141757970887e-06
"logN1Y_3","parameter",-54.3560966816621,10.4153242040193,"parameter",-54.3560966816621,10.4153257534099,0,1.54939060337256e-06
"logN1Y_4","parameter",-38.9632130822639,9.67555922300814,"parameter",-38.9632130822639,9.67556082762795,0,1.60461980946991e-06
"logN1Y_5","parameter",-27.6547994261075,9.61634936831168,"parameter",-27.6547994261075,9.61635076204123,0,1.39372955132444e-06
"logN1Y_6","parameter",-16.0987152394946,8.92366355498845,"parameter",-16.0987152394946,8.92366929308034,0,5.73809188431085e-06
"logN1Y_7","parameter",-6.92421398791107,8.14658718412306,"parameter",-6.92421398791107,8.1465998357681,0,1.26516450453806e-05
"logFY_1","parameter",212.313579028935,-1.56554655498001,"parameter",212.313579028935,-1.56555285340578,0,6.29842576449491e-06
"logFY_2","parameter",167.712946078849,-1.67013478666453,"parameter",167.712946078849,-1.67013761813667,2.8421709430404e-14,2.8314721429723e-06
"logFY_3","parameter",124.355728742889,-1.37075695367499,"parameter",124.355728742889,-1.37076382228448,1.4210854715202e-14,6.86860948695411e-06
"logFY_4","parameter",89.1936079000133,-1.24524782313422,"parameter",89.1936079000133,-1.24525701721789,1.4210854715202e-14,9.1940836619564e-06
"logFY_5","parameter",62.2781522461381,-1.19775691214465,"parameter",62.2781522461381,-1.197759676929,1.4210854715202e-14,2.76478434724226e-06
"logFY_6","parameter",43.8508482807181,-1.11784945387592,"parameter",43.8508482807181,-1.11785676775948,7.105427357601e-15,7.31388355923457e-06
"logFY_7","parameter",40.5736333008263,-1.43348280125593,"parameter",40.5736333008263,-1.43349067124767,0,7.86999173674197e-06
"logFY_8","parameter",46.4213820907016,-1.25303232873723,"parameter",46.4213820907016,-1.25304091984014,0,8.59110291018261e-06
"logFY_9","parameter",43.939646248844,-0.965826496168396,"parameter",43.939646248844,-0.965829250913132,0,2.75474473554471e-06
"logFY_10","parameter",42.0867518917571,-0.866058398595033,"parameter",42.0867518917571,-0.866066097974658,7.105427357601e-15,7.69937962585843e-06
"logFY_11","parameter",41.2488215710486,-0.882076449532428,"parameter",41.2488215710486,-0.882079950310937,7.105427357601e-15,3.50077850874708e-06
"logFY_12","parameter",39.8512705748849,-0.825115792883685,"parameter",39.8512705748849,-0.825121858998823,7.105427357601e-15,6.06611513831457e-06
"logFY_13","parameter",39.2725025362244,-0.800896884109235,"parameter",39.2725025362244,-0.800903829383964,7.105427357601e-15,6.94527472955286e-06
"logFY_14","parameter",37.5677465578366,-0.680397762910474,"parameter",37.5677465578366,-0.680401540273104,7.105427357601e-15,3.77736262935358e-06
"logFY_15","parameter",37.7319203988498,-0.675782152798885,"parameter",37.7319203988498,-0.675787645432042,7.105427357601e-15,5.492633156301e-06
"logFY_16","parameter",37.5041835535612,-0.620285603893308,"parameter",37.5041835535612,-0.620289649339225,7.105427357601e-15,4.04544591725564e-06
"logFY_17","parameter",34.9423795013445,-0.729808534870593,"parameter",34.9423795013445,-0.729814054924183,0,5.52005359033547e-06
"logFY_18","parameter",28.331026235308,-0.524691218930706,"parameter",28.331026235308,-0.524697343914806,0,6.12498410024198e-06
"logFY_19","parameter",20.8263012484317,-0.5621473824008,"parameter",20.8263012484317,-0.562151744722653,1.4210854715202e-14,4.36232185219154e-06
"logFY_20","parameter",8.85537259492168,-0.374139838999936,"parameter",8.85537259492166,-0.37414541577883,2.30926389122033e-14,5.57677889378994e-06
"logFY_21","parameter",22.0430266409544,-0.60999242601358,"parameter",22.0430266409544,-0.609996933323865,1.06581410364015e-14,4.50731028456275e-06
"logFY_22","parameter",31.7169666639011,-0.596978259682756,"parameter",31.7169666639011,-0.596982678977804,1.06581410364015e-14,4.41929504890748e-06
"logFY_23","parameter",38.9114418549065,-0.691856839580688,"parameter",38.9114418549065,-0.691863395494277,0,6.5559135893345e-06
"logFY_24","parameter",39.54090386787,-0.563422993909349,"parameter",39.54090386787,-0.563427165026528,7.105427357601e-15,4.17111717876395e-06
"logFY_25","parameter",40.5714316032685,-0.599772642774202,"parameter",40.5714316032685,-0.599778625474946,1.4210854715202e-14,5.98270074347873e-06
"logFY_26","parameter",41.2048386684878,-0.730737645062206,"parameter",41.2048386684878,-0.730744450342981,1.4210854715202e-14,6.80528077479092e-06
"logFY_27","parameter",38.1355646553915,-0.520401808053432,"parameter",38.1355646553915,-0.520407890323265,7.105427357601e-15,6.08226983378479e-06
"logFY_28","parameter",39.2113249176221,-0.653089171066749,"parameter",39.2113249176221,-0.653094349424176,7.105427357601e-15,5.1783574270825e-06
"logFY_29","parameter",38.5370912992702,-0.538502725851488,"parameter",38.5370912992702,-0.538508583960866,2.8421709430404e-14,5.85810937814291e-06
"logFY_30","parameter",40.8180331875976,-0.765459709701865,"parameter",40.8180331875976,-0.765466440671065,2.1316282072803e-14,6.73096919967531e-06
"logFY_31","parameter",39.649101976314,-0.651093584042846,"parameter",39.649101976314,-0.651099868713604,1.4210854715202e-14,6.28467075891592e-06
"logFY_32","parameter",38.4945888719047,-0.532906863337598,"parameter",38.4945888719047,-0.532911039277117,0,4.17593951929085e-06
"logFY_33","parameter",39.9339196766611,-0.654376636132405,"parameter",39.9339196766611,-0.6543822392529,7.105427357601e-15,5.60312049480149e-06
"logFY_34","parameter",39.6794957898334,-0.621451401806842,"parameter",39.6794957898334,-0.621456017622206,7.105427357601e-15,4.6158153642617e-06
