"name","parameter_quadra","initial_gradient_quadra","estimate_quadra","parameter_rtmb","initial_gradient_rtmb","estimate_rtmb","gradient_difference","estimate_difference"
"tthetaR","parameter",-2141.82475023652,0.737474410109064,"parameter",-2141.82475023652,0.737474532881893,0,1.22772828570206e-07
"logSdR","parameter",-4339.637963539,-0.368672001611633,"parameter",-4339.637963539,-0.368672140069337,1.81898940354586e-12,1.38457703802164e-07
"logMuR","parameter",-427.306893009723,12.8429168943202,"parameter",-427.306893009723,12.842917227495,0,3.33174757116694e-07
"logSdCatch","parameter",-7565.5006418722,-1.03677721884771,"parameter",-7565.5006418722,-1.03677708774561,0,1.31102096734281e-07
"logSdSurvey","parameter",-2614.50895088044,-0.925488866207781,"parameter",-2614.50895088044,-0.925488967267691,4.54747350886464e-13,1.01059910218027e-07
"logQ_1","parameter",151.036007476085,-10.615947801309,"parameter",151.036007476085,-10.6159473125196,2.8421709430404e-14,4.88789439145876e-07
"logQ_2","parameter",109.561809673661,-9.33407964213537,"parameter",109.561809673661,-9.33407962805273,4.2632564145606e-14,1.40826479366751e-08
"logQ_3","parameter",105.445039904591,-9.02934641901721,"parameter",105.445039904591,-9.02934667349405,1.4210854715202e-14,2.5447683960067e-07
"logQ_4","parameter",104.826112905972,-8.91948452607626,"parameter",104.826112905972,-8.91948444241371,0,8.36625453359829e-08
"logQ_5","parameter",96.4361852623272,-8.68153841220486,"parameter",96.4361852623272,-8.68153904924985,1.4210854715202e-14,6.3704499098094e-07
"logN1Y_1","parameter",-94.9975936247013,12.441632203927,"parameter",-94.9975936247013,12.4416323399186,0,1.35991587768558e-07
"logN1Y_2","parameter",-75.3602439248754,11.7644552186911,"parameter",-75.3602439248754,11.7644556218316,0,4.03140443694383e-07
"logN1Y_3","parameter",-54.3560966816621,10.4136562930834,"parameter",-54.3560966816621,10.4136553378856,0,9.55197796415064e-07
"logN1Y_4","parameter",-38.9632130822639,9.67194770387798,"parameter",-38.9632130822639,9.67194745573344,0,2.48144539582995e-07
"logN1Y_5","parameter",-27.6547994261075,9.6115320900516,"parameter",-27.6547994261075,9.61153239431222,0,3.04260614925056e-07
"logN1Y_6","parameter",-16.0987152394946,8.91994074988241,"parameter",-16.0987152394946,8.91994094125315,0,1.9137073259401e-07
"logN1Y_7","parameter",-6.92421398791107,8.1419317934144,"parameter",-6.92421398791107,8.14193180506131,0,1.164691276756e-08
"logFY_1","parameter",212.313579028935,-1.56039035731893,"parameter",212.313579028935,-1.56039133700757,0,9.7968863865816e-07
"logFY_2","parameter",167.712946078849,-1.6658839439737,"parameter",167.712946078849,-1.66588408466387,2.8421709430404e-14,1.40690169736502e-07
"logFY_3","parameter",124.355728742889,-1.36068202021178,"parameter",124.355728742889,-1.36068113424631,1.4210854715202e-14,8.85965471653094e-07
"logFY_4","parameter",89.1936079000133,-1.23828736688825,"parameter",89.1936079000133,-1.2382894082256,1.4210854715202e-14,2.04133734138523e-06
"logFY_5","parameter",62.2781522461381,-1.19617544781397,"parameter",62.2781522461381,-1.19617389057799,1.4210854715202e-14,1.55723598616042e-06
"logFY_6","parameter",43.8508482807181,-1.11952744113523,"parameter",43.8508482807181,-1.11952741100607,7.105427357601e-15,3.01291600557363e-08
"logFY_7","parameter",40.5736333008263,-1.43114615779487,"parameter",40.5736333008263,-1.43114623870846,0,8.09135936030714e-08
"logFY_8","parameter",46.4213820907016,-1.2456160461315,"parameter",46.4213820907016,-1.24561607663313,0,3.050163033258e-08
"logFY_9","parameter",43.939646248844,-0.961592644999424,"parameter",43.939646248844,-0.961591785984828,0,8.59014595899765e-07
"logFY_10","parameter",42.0867518917571,-0.872798744758947,"parameter",42.0867518917571,-0.872799989941737,7.105427357601e-15,1.24518279009944e-06
"logFY_11","parameter",41.2488215710486,-0.880578095231538,"parameter",41.2488215710486,-0.880577551985975,7.105427357601e-15,5.43245563422445e-07
"logFY_12","parameter",39.8512705748849,-0.825354832144644,"parameter",39.8512705748849,-0.825355077777187,7.105427357601e-15,2.45632542861252e-07
"logFY_13","parameter",39.2725025362244,-0.79851347428448,"parameter",39.2725025362244,-0.798512991892393,7.105427357601e-15,4.82392087275407e-07
"logFY_14","parameter",37.5677465578366,-0.682559551570431,"parameter",37.5677465578366,-0.682559454709293,7.105427357601e-15,9.68611375551376e-08
"logFY_15","parameter",37.7319203988498,-0.673814299593621,"parameter",37.7319203988498,-0.673815838743522,7.105427357601e-15,1.53914990108639e-06
"logFY_16","parameter",37.5041835535612,-0.632281631131634,"parameter",37.5041835535612,-0.632280075915195,7.105427357601e-15,1.55521643929735e-06
"logFY_17","parameter",34.9423795013445,-0.729886541687707,"parameter",34.9423795013445,-0.729886442454636,0,9.92330710936074e-08
"logFY_18","parameter",28.331026235308,-0.532791459840788,"parameter",28.331026235308,-0.532791598130753,0,1.38289965256888e-07
"logFY_19","parameter",20.8263012484317,-0.571816262317045,"parameter",20.8263012484317,-0.571816234523781,1.4210854715202e-14,2.7793264023579e-08
"logFY_20","parameter",8.85537259492168,-0.382522522654404,"parameter",8.85537259492166,-0.382521830627681,2.30926389122033e-14,6.92026722259875e-07
"logFY_21","parameter",22.0430266409544,-0.612147788099502,"parameter",22.0430266409544,-0.612147977776293,1.06581410364015e-14,1.89676791162441e-07
"logFY_22","parameter",31.7169666639011,-0.594945912832857,"parameter",31.7169666639011,-0.59494543830336,1.06581410364015e-14,4.74529497029863e-07
"logFY_23","parameter",38.9114418549065,-0.692511792145153,"parameter",38.9114418549065,-0.692512030954146,0,2.38808993247019e-07
"logFY_24","parameter",39.54090386787,-0.552643011199225,"parameter",39.54090386787,-0.552642782383657,7.105427357601e-15,2.28815567937524e-07
"logFY_25","parameter",40.5714316032685,-0.602917492877048,"parameter",40.5714316032685,-0.602918107962217,1.4210854715202e-14,6.15085168798046e-07
"logFY_26","parameter",41.2048386684878,-0.723764004272045,"parameter",41.2048386684878,-0.723764031623126,1.4210854715202e-14,2.73510809556399e-08
"logFY_27","parameter",38.1355646553915,-0.515083978293758,"parameter",38.1355646553915,-0.515083265152588,7.105427357601e-15,7.13141170005649e-07
"logFY_28","parameter",39.2113249176221,-0.648629060941506,"parameter",39.2113249176221,-0.648629388437461,7.105427357601e-15,3.27495955354529e-07
"logFY_29","parameter",38.5370912992702,-0.530519093378921,"parameter",38.5370912992702,-0.530518965767869,2.8421709430404e-14,1.2761105261383e-07
"logFY_30","parameter",40.8180331875976,-0.754329489911931,"parameter",40.8180331875976,-0.754329262148122,2.1316282072803e-14,2.27763808369197e-07
"logFY_31","parameter",39.649101976314,-0.646698770030683,"parameter",39.649101976314,-0.646699010299023,1.4210854715202e-14,2.40268340112593e-07
"logFY_32","parameter",38.4945888719047,-0.525632706225804,"parameter",38.4945888719047,-0.525632123962843,0,5.82262960957536e-07
"logFY_33","parameter",39.9339196766611,-0.653245546119699,"parameter",39.9339196766611,-0.653245904843359,7.105427357601e-15,3.58723660442983e-07
"logFY_34","parameter",39.6794957898334,-0.615308854636506,"parameter",39.6794957898334,-0.615307889597361,7.105427357601e-15,9.65039144928959e-07
"logFY_35","parameter",37.9349893035016,-0.651043996395368,"parameter",37.9349893035017,-0.651044261218587,2.1316282072803e-14,2.64823219353616e-07
"logFY_36","parameter",33.9196534728689,-0.451627666416641,"parameter",33.919653472869,-0.451627333156838,2.1316282072803e-14,3.33259802809405e-07
"logFY_37","parameter",32.2468819239166,-0.351756305968541,"parameter",32.2468819239166,-0.351756662680253,2.1316282072803e-14,3.567117120018e-07
"logFY_38","parameter",33.6268065302825,-0.464356810331694,"parameter",33.6268065302825,-0.464356805697096,0,4.63459753907713e-09
"logFY_39","parameter",37.7352963912384,-0.812781977978721,"parameter",37.7352963912385,-0.812781245798584,7.105427357601e-15,7.321801375193e-07
"logFY_40","parameter",35.3951661094148,-0.603198553505315,"parameter",35.3951661094149,-0.603199040567116,1.4210854715202e-14,4.87061801335287e-07
"logFY_41","parameter",34.9682817783669,-0.95708408158683,"parameter",34.9682817783669,-0.957082947721481,0,1.13386534872362e-06
"logFY_42","parameter",26.2868447860688,-0.772179385514248,"parameter",26.2868447860688,-0.772179232239101,3.5527136788005e-15,1.53275147574128e-07
"logFY_43","parameter",16.1912131915338,-0.980800626015263,"parameter",16.1912131915338,-0.980801492380415,7.105427357601e-15,8.66365152285553e-07
"logFY_44","parameter",0.925894866576807,-1.23483849579405,"parameter",0.92589486657681,-1.23483920677987,3.33066907387547e-15,7.10985821106291e-07
"logFY_45","parameter",-26.4832093395761,-1.44332975412605,"parameter",-26.4832093395761,-1.44332980669567,3.5527136788005e-15,5.256962287703e-08
"logFA_1","parameter",475.354436742831,-0.361009093406327,"parameter",475.35443674283,-0.361008761876855,1.13686837721616e-13,3.31529472319403e-07
"logFA_2","parameter",447.990123494752,0.648180429745076,"parameter",447.990123494752,0.648180501870926,5.6843418860808e-14,7.2125849737148e-08
"logFA_3","parameter",421.325221779374,0.611017109517713,"parameter",421.325221779373,0.611017034345767,1.13686837721616e-13,7.51719460012623e-08
"logFA_4","parameter",376.967275604995,0.387635950162556,"parameter",376.967275604995,0.387635942989336,0,7.17322040655333e-09
