"name","parameter_quadra","initial_gradient_quadra","estimate_quadra","parameter_rtmb","initial_gradient_rtmb","estimate_rtmb","gradient_difference","estimate_difference"
"tthetaR","parameter",-2141.82475023652,0.737474975694983,"parameter",-2141.82475023652,0.737475389870072,9.09494701772928e-13,4.14175089447077e-07
"logSdR","parameter",-4339.637963539,-0.368671929138598,"parameter",-4339.637963539,-0.368672482881303,1.81898940354586e-12,5.53742704578752e-07
"logMuR","parameter",-427.306893009723,12.8429168658502,"parameter",-427.306893009723,12.8429156524806,0,1.21336962699559e-06
"logSdCatch","parameter",-7565.5006418722,-1.03677720363751,"parameter",-7565.5006418722,-1.03677737631692,0,1.72679410104237e-07
"logSdSurvey","parameter",-2614.50895088044,-0.925488976326596,"parameter",-2614.50895088044,-0.925489343397713,4.54747350886464e-13,3.67071116391671e-07
"logQ_1","parameter",151.036007476085,-10.6159477325001,"parameter",151.036007476085,-10.6159468556901,2.8421709430404e-14,8.76810061001265e-07
"logQ_2","parameter",109.561809673661,-9.33407967680539,"parameter",109.561809673661,-9.33407897962919,4.2632564145606e-14,6.9717619766152e-07
"logQ_3","parameter",105.445039904591,-9.02934656111369,"parameter",105.445039904591,-9.02934594090967,1.4210854715202e-14,6.202040179204e-07
"logQ_4","parameter",104.826112905972,-8.91948487149124,"parameter",104.826112905972,-8.91948502065448,0,1.49163241758288e-07
"logQ_5","parameter",96.4361852623272,-8.68153931813469,"parameter",96.4361852623272,-8.68153926076302,1.4210854715202e-14,5.73716647522815e-08
"logN1Y_1","parameter",-94.9975936247013,12.4416325860997,"parameter",-94.9975936247013,12.4416311436658,0,1.44243388966458e-06
"logN1Y_2","parameter",-75.3602439248754,11.7644554751471,"parameter",-75.3602439248754,11.7644535246425,0,1.95050458806634e-06
"logN1Y_3","parameter",-54.3560966816621,10.4136576993752,"parameter",-54.3560966816621,10.4136574720299,0,2.27345241299304e-07
"logN1Y_4","parameter",-38.9632130822639,9.67194958794567,"parameter",-38.9632130822639,9.67195021413944,0,6.26193763508809e-07
"logN1Y_5","parameter",-27.6547994261075,9.61153371673928,"parameter",-27.6547994261075,9.61153276539711,0,9.51342169486225e-07
"logN1Y_6","parameter",-16.0987152394946,8.91994332071994,"parameter",-16.0987152394946,8.9199427172977,0,6.03422238398821e-07
"logN1Y_7","parameter",-6.92421398791107,8.14193973897212,"parameter",-6.92421398791107,8.14194140859032,0,1.66961820369238e-06
"logFY_1","parameter",212.313579028935,-1.56039428576935,"parameter",212.313579028935,-1.56039507011474,0,7.84345390192343e-07
