section,metric,target,value,extra
optimization,objective_value,,4.17136656947898,
optimization,gradient_norm,,0.472367612872141,
optimization,max_gradient_parameter,,fixed_0,
optimization,max_gradient_value,,-0.472367612872141,
optimization,max_abs_gradient,,0.472367612872141,
optimization,iterations,,1,
optimization,converged,,yes,
optimization,message,,Converged: gradient norm below tolerance.,
curvature,positive_definite,,yes,
curvature,min_eigenvalue,,4.58117348135282,
curvature,max_eigenvalue,,7.2315825084363,
curvature,condition_number_abs,,1.57854369363476,
backend_selection,detected_structure,,dense,
backend_selection,selected_backend,,dense_ldlt,
backend_selection,solver_recommendation,,LBFGS,
backend_selection,bandwidth,,3,
backend_selection,expected_complexity,,O(n^3),
backend_selection,supports_symbolic_reuse,,no,
backend_selection,selection_reason,,small matrix; dense LDLT preferred,
spectral_structure,available,,yes,
spectral_structure,positive_eigen_count,,4,
spectral_structure,near_zero_eigen_count,,0,
spectral_structure,negative_eigen_count,,0,
spectral_structure,largest_eigen_share,,0.314646280832335,
spectral_structure,effective_rank_entropy,,3.93970979377318,
spectral_structure,normalized_spectral_entropy,,0.989044681020492,
spectral_structure,participation_ratio,,3.88057844431002,
spectral_structure,stable_rank,,2.60290506008368,
spectral_structure,leading_spectral_gap_ratio,,1.19357371363784,
spectral_structure,eigen_count_for_50%,,2,
spectral_structure,eigen_count_for_90%,,4,
spectral_structure,eigen_count_for_95%,,4,
spectral_structure,eigen_count_for_99%,,4,
spectral_eigenvalue,eigenvalue,rank_1,7.2315825084363,cumulative_share=0.314646280832335
spectral_eigenvalue,eigenvalue,rank_2,6.05876488884417,cumulative_share=0.578263246619339
spectral_eigenvalue,eigenvalue,rank_3,5.11169217351714,cumulative_share=0.800673062075445
spectral_eigenvalue,eigenvalue,rank_4,4.58117348135282,cumulative_share=1
huu_structure,random_effects,,4,
huu_structure,total_entries,,16,
huu_structure,structural_nonzeros,,16,
huu_structure,structural_density,,1,
effective_sparsity,entries_required,90%,8,compression_vs_structural=2
effective_sparsity,entries_required,95%,10,compression_vs_structural=1.6
effective_sparsity,entries_required,97%,10,compression_vs_structural=1.6
effective_sparsity,entries_required,98%,11,compression_vs_structural=1.45454545454545
effective_sparsity,entries_required,99%,13,compression_vs_structural=1.23076923076923
effective_sparsity,entries_required,99.5%,14,compression_vs_structural=1.14285714285714
effective_sparsity,entries_required,99.9%,16,compression_vs_structural=1
effective_sparsity,entries_required,100%,16,compression_vs_structural=1
effective_bandwidth,bandwidth,90%,1,entry_count_if_banded=10
effective_bandwidth,bandwidth,95%,1,entry_count_if_banded=10
effective_bandwidth,bandwidth,97%,1,entry_count_if_banded=10
effective_bandwidth,bandwidth,98%,1,entry_count_if_banded=10
effective_bandwidth,bandwidth,99%,2,entry_count_if_banded=14
effective_bandwidth,bandwidth,99.5%,2,entry_count_if_banded=14
effective_bandwidth,bandwidth,99.9%,3,entry_count_if_banded=16
effective_bandwidth,bandwidth,100%,3,entry_count_if_banded=16
uncertainty,covariance_available,,yes,
uncertainty,correlation_available,,yes,
uncertainty,min_variance,,0.176335211134886,index=0
uncertainty,max_variance,,0.181235272782077,index=3
uncertainty,max_abs_correlation,,0.139414365876299,pair=0;1
uncertainty,count_abs_corr_gt_0_5,,0,
uncertainty,count_abs_corr_gt_0_8,,0,
uncertainty,count_abs_corr_gt_0_9,,0,
parameter_influence,importance,latent_1,3.21543610617514,index=1;sd=0.42406423624293;variance=0.179830476460299;variance_share=0.250723191988205;correlation_centrality=0.284054858340175;curvature_column_norm=5.90506467136517;importance_share=0.267860467759505
parameter_influence,importance,latent_2,3.20193418258453,index=2;sd=0.424082676027714;variance=0.179846116106827;variance_share=0.250744997091413;correlation_centrality=0.280809155453506;curvature_column_norm=5.89491361825207;importance_share=0.266735696049164
parameter_influence,importance,latent_0,2.81867344841001,index=0;sd=0.419922863315259;variance=0.176335211134886;variance_share=0.245850024233312;correlation_centrality=0.147746089853997;curvature_column_norm=5.84829702428651;importance_share=0.23480833187835
parameter_influence,importance,latent_3,2.76810205213014,index=3;sd=0.425717362556517;variance=0.181235272782077;variance_share=0.25268178668707;correlation_centrality=0.144113059004676;curvature_column_norm=5.68318497620148;importance_share=0.230595504312981
parameter_influence,correlation_pair,latent_0__latent_1,-0.139414365876299,i=0;j=1;abs_correlation=0.139414365876299
parameter_influence,correlation_pair,latent_1__latent_2,-0.136945676810699,i=1;j=2;abs_correlation=0.136945676810699
parameter_influence,correlation_pair,latent_2__latent_3,-0.135974999008304,i=2;j=3;abs_correlation=0.135974999008304
parameter_influence,correlation_pair,latent_0__latent_2,-0.00788847963450345,i=0;j=2;abs_correlation=0.00788847963450345
parameter_influence,correlation_pair,latent_1__latent_3,-0.00769481565317716,i=1;j=3;abs_correlation=0.00769481565317716
parameter_influence,correlation_pair,latent_0__latent_3,-0.00044324434319495,i=0;j=3;abs_correlation=0.00044324434319495
correlation_graph,abs_correlation_threshold,,0.5,
correlation_graph,node_count,,4,
correlation_graph,edge_count,,0,
correlation_graph,average_degree,,0,
correlation_graph,maximum_degree,,0,parameter=latent_0
correlation_graph,connected_components,,4,
correlation_graph,largest_component_size,,1,
correlation_graph,graph_diameter,,0,
parameter_geometry,available,,no,
parameter_geometry,dominant_parameter,,,index=0;curvature_column_norm=nan
gradient_volatility,available,,no,
gradient_volatility,perturbation_scale,,0,
gradient_volatility,samples,,0,
gradient_volatility,baseline_gradient_norm,,nan,
gradient_volatility,mean_gradient_norm,,nan,
gradient_volatility,sd_gradient_norm,,nan,
gradient_volatility,max_gradient_norm,,nan,
gradient_volatility,gradient_norm_cv,,nan,
gradient_volatility,most_volatile_parameter,,,sd=nan
gradient_volatility,most_sign_flips_parameter,,,sign_flips=0
latent_states,count,,4,
latent_states,mean,,0.341641021182953,
latent_states,sd,,0.252535811932874,
latent_states,min_value,,-0.0161058074976641,index=0
latent_states,max_value,,0.660557114494651,index=2
latent_states,l2_norm,,0.849689175318897,
