section,metric,target,value,extra
parity_point,objective_value,,4.17136656947898,
parity_point,marginal_fixed_gradient_norm,,0.472367612872141,
parity_point,max_marginal_gradient_parameter,,fixed_0,
parity_point,max_marginal_gradient_value,,-0.472367612872141,
parity_point,max_abs_marginal_gradient,,0.472367612872141,
latent_mode,newton_iterations,,1,
latent_mode,converged,,yes,
latent_mode,message,,Converged: latent gradient norm below tolerance.,
curvature,positive_definite,,yes,
curvature,min_eigenvalue,,2.81773096192293,
curvature,max_eigenvalue,,4.44791144030286,
curvature,condition_number_abs,,1.57854369363476,
backend_selection,detected_structure,,dense,
backend_selection,selected_backend,,dense_ldlt,
backend_selection,solver_recommendation,,LBFGS,
backend_selection,bandwidth,,3,
backend_selection,expected_complexity,,O(n^3),
backend_selection,supports_symbolic_reuse,,no,
backend_selection,selection_reason,,small matrix; dense LDLT preferred,
spectral_structure,available,,yes,
spectral_structure,positive_eigen_count,,4,
spectral_structure,near_zero_eigen_count,,0,
spectral_structure,negative_eigen_count,,0,
spectral_structure,largest_eigen_share,,0.314646280832335,
spectral_structure,effective_rank_entropy,,3.93970979377318,
spectral_structure,normalized_spectral_entropy,,0.989044681020492,
spectral_structure,participation_ratio,,3.88057844431002,
spectral_structure,stable_rank,,2.60290506008368,
spectral_structure,leading_spectral_gap_ratio,,1.19357371363784,
spectral_structure,eigen_count_for_50%,,2,
spectral_structure,eigen_count_for_90%,,4,
spectral_structure,eigen_count_for_95%,,4,
spectral_structure,eigen_count_for_99%,,4,
spectral_eigenvalue,eigenvalue,rank_1,4.44791144030286,cumulative_share=0.314646280832335
spectral_eigenvalue,eigenvalue,rank_2,3.72654942839371,cumulative_share=0.578263246619339
spectral_eigenvalue,eigenvalue,rank_3,3.14403577244254,cumulative_share=0.800673062075445
spectral_eigenvalue,eigenvalue,rank_4,2.81773096192293,cumulative_share=1
huu_structure,random_effects,,4,
huu_structure,total_entries,,16,
huu_structure,structural_nonzeros,,16,
huu_structure,structural_density,,1,
effective_sparsity,entries_required,90%,8,compression_vs_structural=2
effective_sparsity,entries_required,95%,10,compression_vs_structural=1.6
effective_sparsity,entries_required,97%,10,compression_vs_structural=1.6
effective_sparsity,entries_required,98%,11,compression_vs_structural=1.45454545454545
effective_sparsity,entries_required,99%,13,compression_vs_structural=1.23076923076923
effective_sparsity,entries_required,99.5%,14,compression_vs_structural=1.14285714285714
effective_sparsity,entries_required,99.9%,16,compression_vs_structural=1
effective_sparsity,entries_required,100%,16,compression_vs_structural=1
effective_bandwidth,bandwidth,90%,1,entry_count_if_banded=10
effective_bandwidth,bandwidth,95%,1,entry_count_if_banded=10
effective_bandwidth,bandwidth,97%,1,entry_count_if_banded=10
effective_bandwidth,bandwidth,98%,1,entry_count_if_banded=10
effective_bandwidth,bandwidth,99%,2,entry_count_if_banded=14
effective_bandwidth,bandwidth,99.5%,2,entry_count_if_banded=14
effective_bandwidth,bandwidth,99.9%,3,entry_count_if_banded=16
effective_bandwidth,bandwidth,100%,3,entry_count_if_banded=16
uncertainty,covariance_available,,yes,
uncertainty,correlation_available,,yes,
uncertainty,min_variance,,0.28669245005868,index=0
uncertainty,max_variance,,0.294659155460458,index=3
uncertainty,max_abs_correlation,,0.139414365876299,pair=0;1
uncertainty,count_abs_corr_gt_0_5,,0,
uncertainty,count_abs_corr_gt_0_8,,0,
uncertainty,count_abs_corr_gt_0_9,,0,
parameter_influence,importance,latent_1,2.52174563161699,index=1;sd=0.540717287048008;variance=0.292375184512558;variance_share=0.250723191988205;correlation_centrality=0.284054858340175;curvature_column_norm=3.63201341848103;importance_share=0.267860467759505
parameter_influence,importance,latent_2,2.51115658064264,index=2;sd=0.540740799312307;variance=0.292400612040913;variance_share=0.250744997091413;correlation_centrality=0.280809155453506;curvature_column_norm=3.62576983552804;importance_share=0.266735696049164
parameter_influence,importance,latent_0,2.21057959815531,index=0;sd=0.535436690990336;variance=0.28669245005868;variance_share=0.245850024233312;correlation_centrality=0.147746089853997;curvature_column_norm=3.59709748319499;importance_share=0.23480833187835
parameter_influence,importance,latent_3,2.17091835363279,index=3;sd=0.54282516104217;variance=0.294659155460458;variance_share=0.25268178668707;correlation_centrality=0.144113059004676;curvature_column_norm=3.49554242705721;importance_share=0.230595504312981
parameter_influence,correlation_pair,latent_0__latent_1,-0.139414365876299,i=0;j=1;abs_correlation=0.139414365876299
parameter_influence,correlation_pair,latent_1__latent_2,-0.136945676810699,i=1;j=2;abs_correlation=0.136945676810699
