section,metric,target,value,extra
optimization,objective_value,,5.0511811613296,
optimization,gradient_norm,,0.655796536381041,
optimization,max_gradient_parameter,,fixed_0,
optimization,max_gradient_value,,-0.655796536381041,
optimization,max_abs_gradient,,0.655796536381041,
optimization,iterations,,1,
optimization,converged,,yes,
optimization,message,,Converged: gradient norm below tolerance.,
curvature,positive_definite,,yes,
curvature,min_eigenvalue,,3.96075781839799,
curvature,max_eigenvalue,,7.74725834385204,
curvature,condition_number_abs,,1.95600405252386,
backend_selection,detected_structure,,tridiagonal,
backend_selection,selected_backend,,tridiagonal,
backend_selection,solver_recommendation,,Newton,
backend_selection,bandwidth,,1,
backend_selection,expected_complexity,,O(n),
backend_selection,supports_symbolic_reuse,,no,
backend_selection,selection_reason,,unit bandwidth,
spectral_structure,available,,yes,
spectral_structure,positive_eigen_count,,4,
spectral_structure,near_zero_eigen_count,,0,
spectral_structure,negative_eigen_count,,0,
spectral_structure,largest_eigen_share,,0.332952538259815,
spectral_structure,effective_rank_entropy,,3.87882789690221,
spectral_structure,normalized_spectral_entropy,,0.977810382547452,
spectral_structure,participation_ratio,,3.77064076961005,
spectral_structure,stable_rank,,2.39232501186755,
spectral_structure,leading_spectral_gap_ratio,,1.19044874449018,
spectral_structure,eigen_count_for_50%,,2,
spectral_structure,eigen_count_for_90%,,4,
spectral_structure,eigen_count_for_95%,,4,
spectral_structure,eigen_count_for_99%,,4,
spectral_eigenvalue,eigenvalue,rank_1,7.74725834385204,cumulative_share=0.332952538259815
spectral_eigenvalue,eigenvalue,rank_2,6.50784704483004,cumulative_share=0.612639118468192
spectral_eigenvalue,eigenvalue,rank_3,5.05249325100038,cumulative_share=0.829779218590983
spectral_eigenvalue,eigenvalue,rank_4,3.96075781839799,cumulative_share=1
huu_structure,random_effects,,4,
huu_structure,total_entries,,16,
huu_structure,structural_nonzeros,,10,
huu_structure,structural_density,,0.625,
effective_sparsity,entries_required,90%,8,compression_vs_structural=1.25
effective_sparsity,entries_required,95%,9,compression_vs_structural=1.11111111111111
effective_sparsity,entries_required,97%,10,compression_vs_structural=1
effective_sparsity,entries_required,98%,10,compression_vs_structural=1
effective_sparsity,entries_required,99%,10,compression_vs_structural=1
