section,metric,target,value,extra
optimization,objective_value,,4.22118997734713,
optimization,gradient_norm,,0.231236105000721,
optimization,max_gradient_parameter,,fixed_0,
optimization,max_gradient_value,,-0.231236105000721,
optimization,max_abs_gradient,,0.231236105000721,
optimization,iterations,,0,
optimization,converged,,yes,
optimization,message,,Converged: gradient norm below tolerance.,
curvature,positive_definite,,yes,
curvature,min_eigenvalue,,5.10642935602523,
curvature,max_eigenvalue,,6.10657845133293,
curvature,condition_number_abs,,1.19586075231367,
backend_selection,detected_structure,,tridiagonal,
backend_selection,selected_backend,,tridiagonal,
backend_selection,solver_recommendation,,Newton,
backend_selection,bandwidth,,1,
backend_selection,expected_complexity,,O(n),
backend_selection,supports_symbolic_reuse,,no,
backend_selection,selection_reason,,unit bandwidth,
spectral_structure,available,,yes,
spectral_structure,positive_eigen_count,,4,
spectral_structure,near_zero_eigen_count,,0,
spectral_structure,negative_eigen_count,,0,
spectral_structure,largest_eigen_share,,0.272959468785324,
spectral_structure,effective_rank_entropy,,3.99083541706421,
spectral_structure,normalized_spectral_entropy,,0.998345391506612,
spectral_structure,participation_ratio,,3.98172240278072,
spectral_structure,stable_rank,,3.370797729766,
spectral_structure,leading_spectral_gap_ratio,,1.05814138997149,
spectral_structure,eigen_count_for_50%,,2,
spectral_structure,eigen_count_for_90%,,4,
spectral_structure,eigen_count_for_95%,,4,
spectral_structure,eigen_count_for_99%,,4,
spectral_eigenvalue,eigenvalue,rank_1,6.10657845133293,cumulative_share=0.272959468785324
spectral_eigenvalue,eigenvalue,rank_2,5.7710420452388,cumulative_share=0.530920712313164
spectral_eigenvalue,eigenvalue,rank_3,5.38769082563393,cumulative_share=0.771746444343774
spectral_eigenvalue,eigenvalue,rank_4,5.10642935602523,cumulative_share=1
huu_structure,random_effects,,4,
huu_structure,total_entries,,16,
huu_structure,structural_nonzeros,,10,
huu_structure,structural_density,,0.625,
effective_sparsity,entries_required,90%,4,compression_vs_structural=2.5
effective_sparsity,entries_required,95%,7,compression_vs_structural=1.42857142857143
effective_sparsity,entries_required,97%,8,compression_vs_structural=1.25
effective_sparsity,entries_required,98%,9,compression_vs_structural=1.11111111111111
effective_sparsity,entries_required,99%,10,compression_vs_structural=1
effective_sparsity,entries_required,99.5%,10,compression_vs_structural=1
effective_sparsity,entries_required,99.9%,10,compression_vs_structural=1
effective_sparsity,entries_required,100%,10,compression_vs_structural=1
effective_bandwidth,bandwidth,90%,0,entry_count_if_banded=4
effective_bandwidth,bandwidth,95%,0,entry_count_if_banded=4
effective_bandwidth,bandwidth,97%,1,entry_count_if_banded=10
effective_bandwidth,bandwidth,98%,1,entry_count_if_banded=10
effective_bandwidth,bandwidth,99%,1,entry_count_if_banded=10
effective_bandwidth,bandwidth,99.5%,1,entry_count_if_banded=10
effective_bandwidth,bandwidth,99.9%,1,entry_count_if_banded=10
effective_bandwidth,bandwidth,100%,3,entry_count_if_banded=16
uncertainty,covariance_available,,yes,
uncertainty,correlation_available,,yes,
uncertainty,min_variance,,0.178913056082264,index=2
uncertainty,max_variance,,0.180325236631532,index=0
uncertainty,max_abs_correlation,,0.0552249856038601,pair=0;1
uncertainty,count_abs_corr_gt_0_5,,0,
uncertainty,count_abs_corr_gt_0_8,,0,
uncertainty,count_abs_corr_gt_0_9,,0,
parameter_influence,importance,x_1,2.65595981732747,index=1;sd=0.422981153341688;variance=0.178913056082265;variance_share=0.249017239686087;correlation_centrality=0.113272520375858;curvature_column_norm=5.64025830796596;importance_share=0.257364514793428
parameter_influence,importance,x_2,2.65595981732747,index=2;sd=0.422981153341688;variance=0.178913056082264;variance_share=0.249017239686087;correlation_centrality=0.113272520375858;curvature_column_norm=5.64025830796596;importance_share=0.257364514793428
parameter_influence,importance,x_0,2.5039586342494,index=0;sd=0.424647190773154;variance=0.180325236631532;variance_share=0.250982760313913;correlation_centrality=0.0584306598759833;curvature_column_norm=5.57104264522072;importance_share=0.242635485206572
parameter_influence,importance,x_3,2.5039586342494,index=3;sd=0.424647190773154;variance=0.180325236631532;variance_share=0.250982760313913;correlation_centrality=0.0584306598759833;curvature_column_norm=5.57104264522072;importance_share=0.242635485206572
parameter_influence,correlation_pair,x_0__x_1,0.0552249856038601,i=0;j=1;abs_correlation=0.0552249856038601
parameter_influence,correlation_pair,x_2__x_3,0.0552249856038601,i=2;j=3;abs_correlation=0.0552249856038601
parameter_influence,correlation_pair,x_1__x_2,0.0550096288127401,i=1;j=2;abs_correlation=0.0550096288127401
parameter_influence,correlation_pair,x_1__x_3,0.00303790595925726,i=1;j=3;abs_correlation=0.00303790595925726
parameter_influence,correlation_pair,x_0__x_2,0.00303790595925726,i=0;j=2;abs_correlation=0.00303790595925726
parameter_influence,correlation_pair,x_0__x_3,0.000167768312865863,i=0;j=3;abs_correlation=0.000167768312865863
correlation_graph,abs_correlation_threshold,,0.5,
correlation_graph,node_count,,4,
correlation_graph,edge_count,,0,
correlation_graph,average_degree,,0,
correlation_graph,maximum_degree,,0,parameter=x_0
correlation_graph,connected_components,,4,
correlation_graph,largest_component_size,,1,
correlation_graph,graph_diameter,,0,
parameter_geometry,available,,no,
parameter_geometry,dominant_parameter,,,index=0;curvature_column_norm=nan
gradient_volatility,available,,no,
gradient_volatility,perturbation_scale,,0,
gradient_volatility,samples,,0,
gradient_volatility,baseline_gradient_norm,,nan,
gradient_volatility,mean_gradient_norm,,nan,
gradient_volatility,sd_gradient_norm,,nan,
gradient_volatility,max_gradient_norm,,nan,
gradient_volatility,gradient_norm_cv,,nan,
