"comparison_script","case","diagnostic_report","legacy_source","status"
"comparison/ar1/run_parity.R","observed AR(1)","observed_ar1_fixed.md","R/ar1.R","passing"
"comparison/ma1/run_parity.R","observed MA(1)","observed_ma1_fixed.md","R/ma1.R","passing"
"comparison/ar1/run_laplace_parity.R","latent centered AR(1)","latent_ar1_laplace.md","R/ar1_simtest.R","passing"
"comparison/bayes/run_ar_parameterization_parity.R","centered","bayes_ar_centered.md","bayes/ar_good_comparison.R","passing"
"comparison/bayes/run_ar_parameterization_parity.R","centered manual","bayes_ar_centered_manual.md","bayes/ar_good_nodautoreg_comparison.R","passing"
"comparison/bayes/run_ar_parameterization_parity.R","scaled innovations","bayes_ar_scaled_innovations.md","bayes/ar_good_eps_comparison.R","passing"
"comparison/bayes/run_ar_parameterization_parity.R","standard innovations","bayes_ar_standard_innovations.md","bayes/ar_bad_comparison.R","passing"
"comparison/bayes/run_ma_parameterization_parity.R","innovation good","bayes_ma_innovation_good.md","bayes/ma_good_comparison.R","passing"
"comparison/bayes/run_ma_parameterization_parity.R","inverse-filter bad","bayes_ma_inverse_filter_bad.md","bayes/ma_bad_comparison.R","passing"
"comparison/fisheries/run_simplefsa_ar_gate.R","simple FSA AR correlation and recruitment scale","simplefsa_ar_scale.md","simplefsa/basicfsa_ar_good.R","passing"
"comparison/fisheries/run_simplefsa_ar_nuisance_gate.R","simple FSA AR observation/recruitment nuisance block","simplefsa_ar_nuisance.md","simplefsa/basicfsa_ar_good.R","passing"
"comparison/fisheries/audit_naa_sources.R","NAA AR good legacy source audit","naa_source_audit.md","simplefsa/basicNAA_ar_good.R","source_blocked"
"comparison/fisheries/audit_naa_sources.R","NAA AR bad legacy source audit","naa_source_audit.md","simplefsa/basicNAA_ar_bad.R","source_blocked"
"comparison/fisheries/run_simplefsa_ma_good_full_gate.R","complete simple FSA MA innovation fixed blocks","simplefsa_ma_good_full.md","simplefsa/basicfsa_ma_good_orig.R","passing"
"comparison/fisheries/run_simplefsa_ma_bad_full_gate.R","complete simple FSA MA inverse-filter fixed blocks","simplefsa_ma_bad_full.md","simplefsa/basicfsa_ma_bad_orig.R","passing"
"comparison/fisheries/run_simplefsa_ar_full_fixed_gate.R","complete simple FSA AR mapped fixed blocks","simplefsa_ar_full_fixed.md","simplefsa/basicfsa_ar_good.R","passing"
