"study","process","latent_parameterization","method","replicates","timed_replicates","median_time_s","median_max_rhat","median_mean_neff","median_min_neff"
"ar_bad","AR1","noncentered_standard_innovations","stan",100,1,319.253130970988,1.01033875885082,2255.8691747936,484.373573850953
"ar_bad","AR1","noncentered_standard_innovations","tmb",100,100,0.144867923925631,NA,NA,NA
"ar_bad","AR1","noncentered_standard_innovations","tmbstan",100,1,194.900616575032,1.00940296390251,2335.29325535164,490.826406719552
"ar_good","AR1","centered_latent_states_dautoreg","stan",100,7,61.0213275421411,1.0079235333631,5103.31956111467,574.465437911624
"ar_good","AR1","centered_latent_states_dautoreg","tmb",100,100,0.12531992350705,NA,NA,NA
"ar_good","AR1","centered_latent_states_dautoreg","tmbstan",100,0,NA,1.00734345841194,5226.04885012111,604.394373401796
"ar_good_eps","AR1","centered_scaled_innovations","stan",100,100,100.321500000002,1.01247068800783,2204.72091542638,419.974702984336
"ar_good_eps","AR1","centered_scaled_innovations","tmb",100,100,0.143500000000131,NA,NA,NA
"ar_good_eps","AR1","centered_scaled_innovations","tmbstan",100,100,267.623999999998,1.01066657751969,2206.01383849368,416.335337999591
"ar_good_nodautoreg","AR1","centered_latent_states_manual","stan",100,3,65.9354993919842,1.00733367996433,5124.12565497034,586.905244160279
"ar_good_nodautoreg","AR1","centered_latent_states_manual","tmb",100,100,0.124119566520676,NA,NA,NA
"ar_good_nodautoreg","AR1","centered_latent_states_manual","tmbstan",100,1,48.6539496590849,1.00765661918214,4997.64520168359,593.649886820072
"ma_bad","MA1","centered_latent_states_inverse_filter","stan",100,11,70.7351661550347,1.0112674513663,1776.62685304697,340.720122259529
"ma_bad","MA1","centered_latent_states_inverse_filter","tmb",100,100,0.147490325034596,NA,NA,NA
"ma_bad","MA1","centered_latent_states_inverse_filter","tmbstan",100,3,58.8816641911399,1.01180062455642,1782.93616140194,354.673176124466
"ma_good","MA1","centered_innovations","stan",100,9,86.6656627729535,1.00863898543784,2203.3482372388,607.072893310311
"ma_good","MA1","centered_innovations","tmb",100,100,0.0902526645222679,NA,NA,NA
"ma_good","MA1","centered_innovations","tmbstan",100,2,65.2759531789925,1.00758474525858,2136.77014119294,583.452783144475
